"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"NR3C2","NR3C2",-1.16752499974033,10.0381001798321,3.9245379847009e-21,1.75681942885136e-17,"cid1 - cid0"
"DENND5A","DENND5A",1.13233789057726,8.59070031096165,1.30247679607528e-20,3.63709546495229e-17,"cid1 - cid0"
"FAM20C","FAM20C",1.09302591281276,8.78271990780056,1.62497284260127e-20,3.63709546495229e-17,"cid1 - cid0"
"ANGPTL2","ANGPTL2",1.18542872412362,9.29981354779883,2.48855816598131e-20,4.45601225200614e-17,"cid1 - cid0"
"MX2","MX2",1.10665654544697,8.7784386462298,1.08265674940301e-19,1.38471798248645e-16,"cid1 - cid0"
"GFPT2","GFPT2",1.41106115458305,7.37920216383101,2.47525108464678e-19,2.77011537010533e-16,"cid1 - cid0"
"CHST15","CHST15",1.11720924183397,9.32063958865844,4.10522390572171e-19,4.08378551421405e-16,"cid1 - cid0"
"TNC","TNC",1.97841748641637,10.128846506366,2.15934117660801e-18,1.60760441521387e-15,"cid1 - cid0"
"TGFBI","TGFBI",1.00002294662486,11.6924381857441,2.43262550272142e-18,1.60760441521387e-15,"cid1 - cid0"
"IL24","IL24",2.64837311521383,7.39050729670526,2.51384584083483e-18,1.60760441521387e-15,"cid1 - cid0"
"STX19","STX19",-1.14597412301178,8.70225431161971,4.92075288131879e-18,2.75346878415294e-15,"cid1 - cid0"
"LRRK2","LRRK2",1.28537167235741,7.70449397132177,6.48646956721031e-18,3.41608011971964e-15,"cid1 - cid0"
"PECAM1","PECAM1",1.2943660019226,8.50240594685933,1.27300829720186e-17,5.42725870707058e-15,"cid1 - cid0"
"LDLRAD3","LDLRAD3",1.00034185617495,7.91644454764536,1.78143596317888e-17,6.93443312101762e-15,"cid1 - cid0"
"BICC1","BICC1",1.24802295917174,7.4271018586722,2.83163972165973e-17,1.01406681712078e-14,"cid1 - cid0"
"THEMIS2","THEMIS2",1.00908763020254,8.69691590081468,3.76651625093445e-17,1.24894888868949e-14,"cid1 - cid0"
"PTP4A3","PTP4A3",1.52002190814611,8.19922278629124,6.82567499508579e-17,2.03161690011415e-14,"cid1 - cid0"
"ELOVL6","ELOVL6",-1.20751138662998,10.8123872562973,7.034527410202e-17,2.03161690011415e-14,"cid1 - cid0"
"GMFG","GMFG",1.18320813819162,9.32226306461454,7.51501071265873e-17,2.09301305676465e-14,"cid1 - cid0"
"COL12A1","COL12A1",1.88066644910764,9.75895141131345,7.71466892362711e-17,2.09301305676465e-14,"cid1 - cid0"
"WNT5A","WNT5A",1.48427178399432,9.72947795217157,8.4535948723089e-17,2.22603043799358e-14,"cid1 - cid0"
"RAB31","RAB31",1.01411861884728,10.3142950364734,2.02523292086692e-16,4.35867125926005e-14,"cid1 - cid0"
"PREX1","PREX1",1.15918193019002,8.42283610285414,2.18629434793034e-16,4.44861211295917e-14,"cid1 - cid0"
"FAM129A","FAM129A",1.29176192688672,7.97460506678541,4.36738437887738e-16,7.90526205868017e-14,"cid1 - cid0"
"HCLS1","HCLS1",1.09472166425701,10.0694352264557,4.60297167569743e-16,8.08047164951355e-14,"cid1 - cid0"
"COL7A1","COL7A1",1.20861002296372,8.35895494955638,6.36823920610958e-16,1.00342812803375e-13,"cid1 - cid0"
"CHN1","CHN1",1.31677600411809,8.12790295621847,6.38840648921296e-16,1.00342812803375e-13,"cid1 - cid0"
"CLMP","CLMP",1.0881469326362,8.39623993824586,6.73690705041604e-16,1.0399229107306e-13,"cid1 - cid0"
