"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"MSN","MSN",0.993331440973922,11.1694628199427,1.23501737355579e-22,1.1057110545445e-18,"cid1 - cid0"
"NR3C2","NR3C2",-1.16752499974033,10.0381001798321,3.9245379847009e-21,1.75681942885136e-17,"cid1 - cid0"
"DENND5A","DENND5A",1.13233789057726,8.59070031096165,1.30247679607528e-20,3.63709546495229e-17,"cid1 - cid0"
"FAM20C","FAM20C",1.09302591281276,8.78271990780056,1.62497284260127e-20,3.63709546495229e-17,"cid1 - cid0"
"ANGPTL2","ANGPTL2",1.18542872412362,9.29981354779883,2.48855816598131e-20,4.45601225200614e-17,"cid1 - cid0"
"MSL3","MSL3",0.679441844236107,9.51386517218975,5.87245914614599e-20,8.76268778924085e-17,"cid1 - cid0"
"MX2","MX2",1.10665654544697,8.7784386462298,1.08265674940301e-19,1.38471798248645e-16,"cid1 - cid0"
"GFPT2","GFPT2",1.41106115458305,7.37920216383101,2.47525108464678e-19,2.77011537010533e-16,"cid1 - cid0"
"CHST15","CHST15",1.11720924183397,9.32063958865844,4.10522390572171e-19,4.08378551421405e-16,"cid1 - cid0"
"KLF4","KLF4",-0.981340697566603,10.1159399217545,7.86820403351652e-19,7.04440307120734e-16,"cid1 - cid0"
"SPRY2","SPRY2",-0.784559354490233,9.96746621576521,1.83852302187207e-18,1.49639060134733e-15,"cid1 - cid0"
"TNC","TNC",1.97841748641637,10.128846506366,2.15934117660801e-18,1.60760441521387e-15,"cid1 - cid0"
"TGFBI","TGFBI",1.00002294662486,11.6924381857441,2.43262550272142e-18,1.60760441521387e-15,"cid1 - cid0"
"IL24","IL24",2.64837311521383,7.39050729670526,2.51384584083483e-18,1.60760441521387e-15,"cid1 - cid0"
"FNBP1L","FNBP1L",-0.702522686094557,10.0440205256667,3.95973733071615e-18,2.36343522146011e-15,"cid1 - cid0"
"STX19","STX19",-1.14597412301178,8.70225431161971,4.92075288131879e-18,2.75346878415294e-15,"cid1 - cid0"
"LRRK2","LRRK2",1.28537167235741,7.70449397132177,6.48646956721031e-18,3.41608011971964e-15,"cid1 - cid0"
"LGALS1","LGALS1",0.914154939491636,11.8405858769146,7.48373737627285e-18,3.7223278183206e-15,"cid1 - cid0"
"CMAS","CMAS",-0.813506711059754,9.61473093692949,8.73751566532291e-18,4.11720935534927e-15,"cid1 - cid0"
"UGP2","UGP2",-0.625399209904527,12.2089364514679,1.12404029035968e-17,5.03176635979511e-15,"cid1 - cid0"
"PECAM1","PECAM1",1.2943660019226,8.50240594685933,1.27300829720186e-17,5.42725870707058e-15,"cid1 - cid0"
"ERLIN1","ERLIN1",-0.506074406741838,10.6899462617358,1.66752394811322e-17,6.78606450338985e-15,"cid1 - cid0"
"LDLRAD3","LDLRAD3",1.00034185617495,7.91644454764536,1.78143596317888e-17,6.93443312101762e-15,"cid1 - cid0"
"NET1","NET1",-0.669559457544729,10.9331751417788,2.46223169526354e-17,9.18515015320603e-15,"cid1 - cid0"
"BICC1","BICC1",1.24802295917174,7.4271018586722,2.83163972165973e-17,1.01406681712078e-14,"cid1 - cid0"
"SH3RF1","SH3RF1",-0.784332350039552,10.0208835735204,3.16897896211422e-17,1.09122571722341e-14,"cid1 - cid0"
"THEMIS2","THEMIS2",1.00908763020254,8.69691590081468,3.76651625093445e-17,1.24894888868949e-14,"cid1 - cid0"
"GPD1L","GPD1L",-0.868897911421238,9.85641575863542,4.8603416213308e-17,1.55409423342052e-14,"cid1 - cid0"
"DERA","DERA",-0.561461926044926,10.0997558353497,5.20773472569592e-17,1.60775341376399e-14,"cid1 - cid0"
"PTP4A3","PTP4A3",1.52002190814611,8.19922278629124,6.82567499508579e-17,2.03161690011415e-14,"cid1 - cid0"
"ELOVL6","ELOVL6",-1.20751138662998,10.8123872562973,7.034527410202e-17,2.03161690011415e-14,"cid1 - cid0"
"GMFG","GMFG",1.18320813819162,9.32226306461454,7.51501071265873e-17,2.09301305676465e-14,"cid1 - cid0"
"COL12A1","COL12A1",1.88066644910764,9.75895141131345,7.71466892362711e-17,2.09301305676465e-14,"cid1 - cid0"
"WNT5A","WNT5A",1.48427178399432,9.72947795217157,8.4535948723089e-17,2.22603043799358e-14,"cid1 - cid0"
"TDP2","TDP2",-0.763468961739129,11.7828041703963,1.00596915609655e-16,2.57326910129497e-14,"cid1 - cid0"
"TNFRSF1B","TNFRSF1B",0.828037598049278,9.43207278886554,1.39335480549298e-16,3.3915403777927e-14,"cid1 - cid0"
"S100A4","S100A4",0.995576081930732,10.5636969032182,1.40161950160091e-16,3.3915403777927e-14,"cid1 - cid0"
"PARM1","PARM1",-0.845807542931084,11.2794932623982,1.46980862759345e-16,3.46294648495898e-14,"cid1 - cid0"
"SLC35B3","SLC35B3",-0.476020934308846,10.183656638226,1.83556570116829e-16,4.21379992886147e-14,"cid1 - cid0"
"SPAG1","SPAG1",-0.71838863170399,9.14081611294987,1.91341606723322e-16,4.28270351248474e-14,"cid1 - cid0"
"RAB31","RAB31",1.01411861884728,10.3142950364734,2.02523292086692e-16,4.35867125926005e-14,"cid1 - cid0"
"ADA","ADA",0.84390207463564,8.29047674546958,2.04472459386711e-16,4.35867125926005e-14,"cid1 - cid0"
"ICAM3","ICAM3",0.901461995520858,10.1809436558656,2.16554342800682e-16,4.44861211295917e-14,"cid1 - cid0"
"PREX1","PREX1",1.15918193019002,8.42283610285414,2.18629434793034e-16,4.44861211295917e-14,"cid1 - cid0"
"SFMBT2","SFMBT2",0.890974724441461,7.70180915531802,2.79516243482691e-16,5.56113095089007e-14,"cid1 - cid0"
"TSPAN13","TSPAN13",-0.482113791777509,12.4343623688779,2.88963820178264e-16,5.62411539577391e-14,"cid1 - cid0"
"SERINC5","SERINC5",-0.581005733424428,10.9247527874957,2.99062990753622e-16,5.69683182173868e-14,"cid1 - cid0"
"PRICKLE2","PRICKLE2",0.82584825454007,7.43439471942898,3.19299222035542e-16,5.95559569767542e-14,"cid1 - cid0"
"FAM129A","FAM129A",1.29176192688672,7.97460506678541,4.36738437887738e-16,7.90526205868017e-14,"cid1 - cid0"
"COL4A2","COL4A2",0.951804716926075,10.6145398885441,4.41486767490236e-16,7.90526205868017e-14,"cid1 - cid0"
"HCLS1","HCLS1",1.09472166425701,10.0694352264557,4.60297167569743e-16,8.08047164951355e-14,"cid1 - cid0"
"PDE8A","PDE8A",-0.556017433041351,8.71900957678173,4.76379980383764e-16,8.20198070072277e-14,"cid1 - cid0"
"CDK14","CDK14",0.914818316663119,8.2466818368446,5.75058736311821e-16,9.71026641181762e-14,"cid1 - cid0"
"TMEM168","TMEM168",-0.518283716036082,9.78741434294682,5.85674507135208e-16,9.71026641181762e-14,"cid1 - cid0"
"FOXA3","FOXA3",-0.984864284388362,9.39524675174573,6.3665788721151e-16,1.00342812803375e-13,"cid1 - cid0"
"COL7A1","COL7A1",1.20861002296372,8.35895494955638,6.36823920610958e-16,1.00342812803375e-13,"cid1 - cid0"
"CHN1","CHN1",1.31677600411809,8.12790295621847,6.38840648921296e-16,1.00342812803375e-13,"cid1 - cid0"
"CLMP","CLMP",1.0881469326362,8.39623993824586,6.73690705041604e-16,1.0399229107306e-13,"cid1 - cid0"
"FAM3D","FAM3D",-0.956665781843617,12.1221489991157,6.98096710341922e-16,1.05933217757478e-13,"cid1 - cid0"
"C4orf19","C4orf19",-0.876291744256363,9.70932570712858,7.15932914201222e-16,1.06829123014059e-13,"cid1 - cid0"
"TMEM9B","TMEM9B",-0.519928158956095,10.8852183838334,9.15498056162919e-16,1.3403209318398e-13,"cid1 - cid0"
"SELPLG","SELPLG",1.12919088715213,8.93167840453221,9.33365212340945e-16,1.3403209318398e-13,"cid1 - cid0"
"RBMS1","RBMS1",1.06524419030124,8.72760523610063,9.44794249166341e-16,1.3403209318398e-13,"cid1 - cid0"
"TLE3","TLE3",0.797370851043002,7.98668006238322,9.58120625910282e-16,1.3403209318398e-13,"cid1 - cid0"
"A1CF","A1CF",-1.03532371138291,9.40569247430879,9.94698571628867e-16,1.37008250950665e-13,"cid1 - cid0"
"GNE","GNE",-0.830037895365573,10.7069354927943,1.02109514726097e-15,1.38513103839809e-13,"cid1 - cid0"
"AKR1B1","AKR1B1",1.07366621812195,10.1419833912303,1.04513414425277e-15,1.39657999902912e-13,"cid1 - cid0"
"CASP6","CASP6",-0.78761826549963,9.44274577759116,1.22312063253324e-15,1.61038220927502e-13,"cid1 - cid0"
"NR3C1","NR3C1",0.753644592965822,9.43779456832553,1.30472973700963e-15,1.69293410658656e-13,"cid1 - cid0"
"SLA","SLA",1.09282087208095,8.70650781292884,1.58411228103944e-15,2.02607960744944e-13,"cid1 - cid0"
"BASP1","BASP1",1.35020723356032,10.8955456210189,1.62499376545637e-15,2.03209703337061e-13,"cid1 - cid0"
"CCL28","CCL28",-1.07756907394739,9.15218232220437,1.63421184410459e-15,2.03209703337061e-13,"cid1 - cid0"
"PXDN","PXDN",0.937335897288362,9.66793637550903,1.68884928128022e-15,2.04996146571418e-13,"cid1 - cid0"
"SH3BGRL2","SH3BGRL2",-0.883456606820699,9.96452607200356,1.69437226027979e-15,2.04996146571418e-13,"cid1 - cid0"
"MRAP2","MRAP2",-0.947611605075746,9.11991859772125,1.76846198407188e-15,2.1110720191194e-13,"cid1 - cid0"
"IL7R","IL7R",1.30749598123009,9.63690877308581,1.86352192852888e-15,2.19527787185777e-13,"cid1 - cid0"
"RAI14","RAI14",1.07202494077478,8.48756352303475,2.03142342418173e-15,2.36199141775312e-13,"cid1 - cid0"
"PTPRM","PTPRM",0.829840926808142,8.55640242891358,2.28385825997661e-15,2.59349041372394e-13,"cid1 - cid0"
"ITGA5","ITGA5",1.14013219318393,9.07336907771945,2.28845909398181e-15,2.59349041372394e-13,"cid1 - cid0"
"ITM2C","ITM2C",-0.783697653766115,12.9810237077963,2.41027373310106e-15,2.69739759155672e-13,"cid1 - cid0"
"COG5","COG5",-0.568680411713174,9.49979802162636,2.44803694534971e-15,2.70583639156987e-13,"cid1 - cid0"
"ICAM1","ICAM1",1.22629580046193,9.79007358797393,3.20456755007915e-15,3.4988406433974e-13,"cid1 - cid0"
"PIP5K1B","PIP5K1B",-0.756877692486468,10.2635175220287,4.39558732738229e-15,4.741408836392e-13,"cid1 - cid0"
